Designator,Mid X,Mid Y,Rotation,Layer
C1,106.45,-74.91,90.0,top
C10,106.45,-92.84,90.0,top
C11,127.36,-110.52,0.0,top
C12,127.36,-117.02,0.0,top
C2,127.36,-58.02,0.0,top
C3,127.36,-64.56,0.0,top
C4,106.45,-57.03,90.0,top
C5,127.36,-75.3,0.0,top
C6,127.36,-82.2,0.0,top
C7,106.45,-110.34,90.0,top
C8,127.36,-92.71,0.0,top
C9,127.36,-99.01,0.0,top
IC1,113.96,-57.6,0.0,top
IC2,113.96,-75.21,0.0,top
IC3,113.96,-92.85,0.0,top
IC4,113.96,-110.465,0.0,top
J1,97.62,-66.35,270.0,top
J2,94.39,-85.07,0.0,top
J3,134.77,-82.42,0.0,top
PS1,105.74,-63.99,0.0,top
PS2,105.74,-81.51,0.0,top
PS3,105.74,-99.15,0.0,top
PS4,105.74,-116.75,0.0,top
R1,121.525,-56.98,0.0,top
R2,121.51,-58.58,0.0,top
R3,121.525,-74.745,0.0,top
R4,121.525,-76.34,0.0,top
R5,121.505,-92.21,0.0,top
R6,121.505,-93.82,0.0,top
R7,121.545,-109.74,0.0,top
R8,121.545,-111.67,0.0,top
